id,nom_fichier,titre,auteur,annee,sujets
6739,Les Caves du Vatican.txt,Les Caves du Vatican,"Gide, André, 1869-1951",2004,"Paris (France) -- Fiction; Rome (Italy) -- Fiction; Wluiki, Lafcadio (Fictitious character) -- Fiction"
6838,Le Dernier Jour d'un Condamné.txt,Le Dernier Jour d'un Condamné,"Hugo, Victor, 1802-1885",2004,France -- Fiction; Prisoners -- France -- Fiction; Capital punishment -- Fiction
6966,Traité General de la Cuisine Maigre.txt,"Traité General de la Cuisine Maigre Potages, entrées et relevés, entremets de légumes, sauces, entremets sucrés, traité de hors d'oeuvre et savoureux","Hélie, Auguste",2004,"Cooking, French; Lenten menus; Fasts and feasts -- France"
6994,Han d'Islande.txt,Han d'Islande,"Hugo, Victor, 1802-1885",2004,"Friendship -- Fiction; Murderers -- Fiction; Man-woman relationships -- Fiction; Suspense fiction; Political prisoners -- Fiction; Christian IV, King of Denmark and Norway, 1577-1648 -- Fiction; Norway -- History -- Christian IV, 1588-1648 -- Fiction"
7012,Mes Origines; Mémoires et Récits de Frédéric Mistral.txt,Mes Origines; Mémoires et Récits de Frédéric Mistral,"Mistral, Frédéric, 1830-1914",2004,"Provence (France) -- Social life and customs; Poets, Occitan -- 19th century -- Biography; Lexicographers -- France -- Biography; Mistral, Frédéric, 1830-1914 -- Childhood and youth; Occitan movement -- Biography"
7263,Le Mariage de Loti.txt,Le Mariage de Loti,"Loti, Pierre, 1850-1923",2005,"Autobiographical fiction; Tahiti (French Polynesia : Island) -- Fiction; Loti, Pierre, 1850-1923 -- Fiction; France. Marine -- Officers -- Fiction"
7268,Monsieur Bergeret à Paris Histoire Contemporaine.txt,Monsieur Bergeret à Paris: Histoire Contemporaine,"France, Anatole, 1844-1924",2005,Paris (France) -- Intellectual life -- 19th century -- Fiction; Middle class -- France -- Paris -- Intellectual life -- 19th century -- Fiction; Antisemitism -- France -- Fiction
7173,Sur la pierre blanche.txt,Sur la pierre blanche,"France, Anatole, 1844-1924",2004,French fiction
7461,Thérèse Raquin.txt,Thérèse Raquin,"Zola, Émile, 1840-1902",2005,Adultery -- Fiction; Guilt -- Fiction; Murder -- Fiction; Paris (France) -- Social life and customs -- Fiction
7462,Contes à Ninon.txt,Contes à Ninon,"Zola, Émile, 1840-1902",2005,"Short stories, French; French fiction -- 19th century"
7442,Michel Strogoff De Moscou a Irkoutsk.txt,Michel Strogoff: De Moscou a Irkoutsk,"Verne, Jules, 1828-1905",2005,"Historical fiction; Russia -- History -- Alexander II, 1855-1881 -- Fiction; Heroes -- Fiction; Tatars -- Fiction"
7770,Les quarante-cinq — Tome 1.txt,Les quarante-cinq — Tome 1,"Dumas, Alexandre, 1802-1870; Maquet, Auguste, 1813-1888",2005,"France -- History -- Henry III, 1574-1589 -- Fiction"
7771,Les quarante-cinq — Tome 2.txt,Les quarante-cinq — Tome 2,"Dumas, Alexandre, 1802-1870; Maquet, Auguste, 1813-1888",2005,"France -- History -- Henry III, 1574-1589 -- Fiction"
7772,Les quarante-cinq — Tome 3.txt,Les quarante-cinq — Tome 3,"Dumas, Alexandre, 1802-1870; Maquet, Auguste, 1813-1888",2005,"France -- History -- Henry III, 1574-1589 -- Fiction"
7809,Les Désenchantées — Roman des harems Turcs contemporains.txt,Les Désenchantées — Roman des harems Turcs contemporains,"Loti, Pierre, 1850-1923",2005,Harems -- Fiction; Turkey -- Social life and customs -- Fiction
7812,Delphine.txt,Delphine,"Staël, Madame de (Anne-Louise-Germaine), 1766-1817",2005,Epistolary fiction; Women -- Social conditions -- Fiction; Women -- France -- 18th century -- Fiction
7818,Niels Henrik Abel.txt,Niels Henrik Abel,"Mittag-Leffler, Magnus Gustaf, 1846-1927",2005,"Abel, Niels Henrik, 1802-1829; Mathematicians -- Biography"
7854,Les Noces Chimiques.txt,Les Noces Chimiques,"Rosencreutz, Christian, 1586-1654",2005,Rosicrucians
8173,Contes de la Montagne.txt,Contes de la Montagne,Erckmann-Chatrian,2005,"Short stories, French; French fiction -- 19th century"
